GEO_ID,Geographic Area Name,Count Total population,Count Total housing units,Count Occupied housing units,Count Vacant housing units,Count Owner-occupied housing units,Percent Total housing units,Percent Occupied housing units,Percent Vacant housing units,Percent!!HOUSING TENURE!!Occupied housing units,Percen Owner-occupied housing units among Occupied housing units,Percent Renter-occupied housing units among Occupied housing units
US01001,"Autauga County, Alabama",58805,24350,22412,1938,16542,100,92,8,100,73.8,26.2
US01003,"Baldwin County, Alabama",231767,124148,93116,31032,69186,100,75,25,100,74.3,25.7
US01005,"Barbour County, Alabama",25223,11618,9677,1941,6194,100,83.3,16.7,100,64,36
US01007,"Bibb County, Alabama",22293,9002,7927,1075,5933,100,88.1,11.9,100,74.8,25.2
US01009,"Blount County, Alabama",59134,24622,22367,2255,18098,100,90.8,9.2,100,80.9,19.1
US01011,"Bullock County, Alabama",10357,4516,3928,588,2638,100,87,13,100,67.2,32.8
US01013,"Butler County, Alabama",19051,9806,8170,1636,5260,100,83.3,16.7,100,64.4,35.6
US01015,"Calhoun County, Alabama",116441,53052,46437,6615,31763,100,87.5,12.5,100,68.4,31.6
US01017,"Chambers County, Alabama",34772,16373,14238,2135,9408,100,87,13,100,66.1,33.9
US01019,"Cherokee County, Alabama",24971,14513,10411,4102,8241,100,71.7,28.3,100,79.2,20.8
US01021,"Chilton County, Alabama",45014,19438,17302,2136,13233,100,89,11,100,76.5,23.5
US01023,"Choctaw County, Alabama",12665,7104,5675,1429,4606,100,79.9,20.1,100,81.2,18.8
US01025,"Clarke County, Alabama",23087,11655,9662,1993,7326,100,82.9,17.1,100,75.8,24.2
US01027,"Clay County, Alabama",14236,7035,5926,1109,4373,100,84.2,15.8,100,73.8,26.2
US01029,"Cleburne County, Alabama",15056,6801,6054,747,4579,100,89,11,100,75.6,24.4
US01031,"Coffee County, Alabama",53465,24105,21263,2842,14346,100,88.2,11.8,100,67.5,32.5
US01033,"Colbert County, Alabama",57227,27666,24425,3241,16868,100,88.3,11.7,100,69.1,30.9
US01035,"Conecuh County, Alabama",11597,6382,5066,1316,3737,100,79.4,20.6,100,73.8,26.2
US01037,"Coosa County, Alabama",10387,5999,4451,1548,3479,100,74.2,25.8,100,78.2,21.8
US01039,"Covington County, Alabama",37570,18596,15515,3081,11280,100,83.4,16.6,100,72.7,27.3
US01041,"Crenshaw County, Alabama",13194,6516,5680,836,4038,100,87.2,12.8,100,71.1,28.9
US01043,"Cullman County, Alabama",87866,39145,34723,4422,25768,100,88.7,11.3,100,74.2,25.8
US01045,"Dale County, Alabama",49326,22761,20159,2602,12019,100,88.6,11.4,100,59.6,40.4
US01047,"Dallas County, Alabama",38462,18880,16037,2843,9685,100,84.9,15.1,100,60.4,39.6
US01049,"DeKalb County, Alabama",71608,30584,27145,3439,20075,100,88.8,11.2,100,74,26
US01051,"Elmore County, Alabama",87977,36818,32567,4251,24736,100,88.5,11.5,100,76,24
US01053,"Escambia County, Alabama",36757,16684,14499,2185,10112,100,86.9,13.1,100,69.7,30.3
US01055,"Etowah County, Alabama",103436,47306,41974,5332,29840,100,88.7,11.3,100,71.1,28.9
US01057,"Fayette County, Alabama",16321,7760,6653,1107,5009,100,85.7,14.3,100,75.3,24.7
US01059,"Franklin County, Alabama",32113,13912,12142,1770,8273,100,87.3,12.7,100,68.1,31.9
US01061,"Geneva County, Alabama",26659,12452,10874,1578,7953,100,87.3,12.7,100,73.1,26.9
US01063,"Greene County, Alabama",7730,4205,3388,817,2320,100,80.6,19.4,100,68.5,31.5
US01065,"Hale County, Alabama",14785,7399,6138,1261,4637,100,83,17,100,75.5,24.5
US01067,"Henry County, Alabama",17146,9058,7169,1889,5611,100,79.1,20.9,100,78.3,21.7
US01069,"Houston County, Alabama",107202,49282,44368,4914,27823,100,90,10,100,62.7,37.3
US01071,"Jackson County, Alabama",52579,24627,21733,2894,16197,100,88.2,11.8,100,74.5,25.5
US01073,"Jefferson County, Alabama",674721,307927,274699,33228,168557,100,89.2,10.8,100,61.4,38.6
US01075,"Lamar County, Alabama",13972,7071,5958,1113,4407,100,84.3,15.7,100,74,26
US01077,"Lauderdale County, Alabama",93564,44585,39544,5041,26371,100,88.7,11.3,100,66.7,33.3
US01079,"Lawrence County, Alabama",33073,15225,13517,1708,10724,100,88.8,11.2,100,79.3,20.7
US01081,"Lee County, Alabama",174241,74856,68728,6128,39925,100,91.8,8.2,100,58.1,41.9
US01083,"Limestone County, Alabama",103570,42692,39365,3327,30105,100,92.2,7.8,100,76.5,23.5
US01085,"Lowndes County, Alabama",10311,4779,4272,507,3246,100,89.4,10.6,100,76,24
US01087,"Macon County, Alabama",19532,9604,7965,1639,5022,100,82.9,17.1,100,63.1,36.9
US01089,"Madison County, Alabama",388153,169820,157770,12050,104650,100,92.9,7.1,100,66.3,33.7
US01091,"Marengo County, Alabama",19323,9777,8226,1551,5945,100,84.1,15.9,100,72.3,27.7
US01093,"Marion County, Alabama",29341,14073,12228,1845,8604,100,86.9,13.1,100,70.4,29.6
US01095,"Marshall County, Alabama",97612,41245,37257,3988,26258,100,90.3,9.7,100,70.5,29.5
US01097,"Mobile County, Alabama",414809,184441,163750,20691,105752,100,88.8,11.2,100,64.6,35.4
US01099,"Monroe County, Alabama",19772,10127,8337,1790,6234,100,82.3,17.7,100,74.8,25.2
US01101,"Montgomery County, Alabama",228954,105293,93223,12070,52462,100,88.5,11.5,100,56.3,43.7
US01103,"Morgan County, Alabama",123421,53265,49241,4024,34525,100,92.4,7.6,100,70.1,29.9
US01105,"Perry County, Alabama",8511,3933,3360,573,2265,100,85.4,14.6,100,67.4,32.6
US01107,"Pickens County, Alabama",19123,8646,7437,1209,5537,100,86,14,100,74.5,25.5
US01109,"Pike County, Alabama",33009,15977,13901,2076,7908,100,87,13,100,56.9,43.1
US01111,"Randolph County, Alabama",21967,12400,8931,3469,6702,100,72,28,100,75,25
US01113,"Russell County, Alabama",59183,27253,23997,3256,13700,100,88.1,11.9,100,57.1,42.9
US01115,"St. Clair County, Alabama",91103,37775,34376,3399,27897,100,91,9,100,81.2,18.8
US01117,"Shelby County, Alabama",223024,89060,84241,4819,65785,100,94.6,5.4,100,78.1,21.9
US01119,"Sumter County, Alabama",12345,6279,5020,1259,3395,100,79.9,20.1,100,67.6,32.4
US01121,"Talladega County, Alabama",82149,37948,33090,4858,23278,100,87.2,12.8,100,70.3,29.7
US01123,"Tallapoosa County, Alabama",41311,22686,17376,5310,12397,100,76.6,23.4,100,71.3,28.7
US01125,"Tuscaloosa County, Alabama",227036,101460,89962,11498,52969,100,88.7,11.3,100,58.9,41.1
US01127,"Walker County, Alabama",65342,29975,26423,3552,19705,100,88.2,11.8,100,74.6,25.4
US01129,"Washington County, Alabama",15388,7712,6321,1391,5239,100,82,18,100,82.9,17.1
US01131,"Wilcox County, Alabama",10600,5261,4316,945,3333,100,82,18,100,77.2,22.8
US01133,"Winston County, Alabama",23540,13015,9845,3170,7545,100,75.6,24.4,100,76.6,23.4
US02013,"Aleutians East Borough, Alaska",3420,679,483,196,305,100,71.1,28.9,100,63.1,36.9
US02016,"Aleutians West Census Area, Alaska",5232,1331,902,429,364,100,67.8,32.2,100,40.4,59.6
US02020,"Anchorage Municipality, Alaska",291247,118640,109343,9297,65630,100,92.2,7.8,100,60,40
US02050,"Bethel Census Area, Alaska",18666,5984,4897,1087,2984,100,81.8,18.2,100,60.9,39.1
US02060,"Bristol Bay Borough, Alaska",844,857,357,500,205,100,41.7,58.3,100,57.4,42.6
US02063,"Chugach Census Area, Alaska",7102,3565,2788,777,1783,100,78.2,21.8,100,64,36
US02066,"Copper River Census Area, Alaska",2617,2769,1134,1635,852,100,41,59,100,75.1,24.9
US02068,"Denali Borough, Alaska",1619,1606,748,858,544,100,46.6,53.4,100,72.7,27.3
US02070,"Dillingham Census Area, Alaska",4857,2405,1558,847,993,100,64.8,35.2,100,63.7,36.3
US02090,"Fairbanks North Star Borough, Alaska",95655,42659,36521,6138,21494,100,85.6,14.4,100,58.9,41.1
US02100,"Haines Borough, Alaska",2080,1370,966,404,698,100,70.5,29.5,100,72.3,27.7
US02105,"Hoonah-Angoon Census Area, Alaska",2365,1777,979,798,674,100,55.1,44.9,100,68.8,31.2
US02110,"Juneau City and Borough, Alaska",32255,14093,12940,1153,8065,100,91.8,8.2,100,62.3,37.7
US02122,"Kenai Peninsula Borough, Alaska",58799,32622,23873,8749,17710,100,73.2,26.8,100,74.2,25.8
US02130,"Ketchikan Gateway Borough, Alaska",13948,6614,5479,1135,3252,100,82.8,17.2,100,59.4,40.6
US02150,"Kodiak Island Borough, Alaska",13101,5825,4612,1213,2600,100,79.2,20.8,100,56.4,43.6
US02158,"Kusilvak Census Area, Alaska",8368,2342,1943,399,1391,100,83,17,100,71.6,28.4
US02164,"Lake and Peninsula Borough, Alaska",1476,1469,543,926,386,100,37,63,100,71.1,28.9
US02170,"Matanuska-Susitna Borough, Alaska",107081,51077,38380,12697,29026,100,75.1,24.9,100,75.6,24.4
US02180,"Nome Census Area, Alaska",10046,4095,3030,1065,1759,100,74,26,100,58.1,41.9
US02185,"North Slope Borough, Alaska",11031,2619,2190,429,1020,100,83.6,16.4,100,46.6,53.4
US02188,"Northwest Arctic Borough, Alaska",7793,2717,2014,703,1147,100,74.1,25.9,100,57,43
US02195,"Petersburg Borough, Alaska",3398,1718,1367,351,972,100,79.6,20.4,100,71.1,28.9
US02198,"Prince of Wales-Hyder Census Area, Alaska",5753,3227,2312,915,1611,100,71.6,28.4,100,69.7,30.3
US02220,"Sitka City and Borough, Alaska",8458,4139,3421,718,2062,100,82.7,17.3,100,60.3,39.7
US02230,"Skagway Municipality, Alaska",1240,760,531,229,297,100,69.9,30.1,100,55.9,44.1
US02240,"Southeast Fairbanks Census Area, Alaska",6808,3513,2445,1068,1837,100,69.6,30.4,100,75.1,24.9
