GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,CM7AA1990,CM7AA1990L,CM7AA1990U,CM7AA2000,CM7AA2000L,CM7AA2000U,CM7AA2010,CN1AA1990,CN1AA1990L,CN1AA1990U,CN1AA2000,CN1AA2000L,CN1AA2000U,CN1AA2010,CN1AB1990,CN1AB1990L,CN1AB1990U,CN1AB2000,CN1AB2000L,CN1AB2000U,CN1AB2010,CN2AA1990,CN2AA1990L,CN2AA1990U,CN2AA2000,CN2AA2000L,CN2AA2000U,CN2AA2010,CN2AB1990,CN2AB1990L,CN2AB1990U,CN2AB2000,CN2AB2000L,CN2AB2000U,CN2AB2010,CV9AA1990,CV9AA1990L,CV9AA1990U,CV9AA2000,CV9AA2000L,CV9AA2000U,CV9AA2010,CV9AB1990,CV9AB1990L,CV9AB1990U,CV9AB2000,CV9AB2000L,CV9AB2000U,CV9AB2010,CV9AC1990,CV9AC1990L,CV9AC1990U,CV9AC2000,CV9AC2000L,CV9AC2000U,CV9AC2010,CV9AD1990,CV9AD1990L,CV9AD1990U,CV9AD2000,CV9AD2000L,CV9AD2000U,CV9AD2010,CV9AE1990,CV9AE1990L,CV9AE1990U,CV9AE2000,CV9AE2000L,CV9AE2000U,CV9AE2010,CV9AF1990,CV9AF1990L,CV9AF1990U,CV9AF2000,CV9AF2000L,CV9AF2000U,CV9AF2010,CV9AG1990,CV9AG1990L,CV9AG1990U,CV9AG2000,CV9AG2000L,CV9AG2000U,CV9AG2010,CV9AH1990,CV9AH1990L,CV9AH1990U,CV9AH2000,CV9AH2000L,CV9AH2000U,CV9AH2010,CV9AI1990,CV9AI1990L,CV9AI1990U,CV9AI2000,CV9AI2000L,CV9AI2000U,CV9AI2010,CV9AJ1990,CV9AJ1990L,CV9AJ1990U,CV9AJ2000,CV9AJ2000L,CV9AJ2000U,CV9AJ2010,CV9AK1990,CV9AK1990L,CV9AK1990U,CV9AK2000,CV9AK2000L,CV9AK2000U,CV9AK2010,CV9AL1990,CV9AL1990L,CV9AL1990U,CV9AL2000,CV9AL2000L,CV9AL2000U,CV9AL2010,CV9AM1990,CV9AM1990L,CV9AM1990U,CV9AM2000,CV9AM2000L,CV9AM2000U,CV9AM2010,CV9AN1990,CV9AN1990L,CV9AN1990U,CV9AN2000,CV9AN2000L,CV9AN2000U,CV9AN2010
"G0100010","2010","Alabama","01","Autauga County","001",12732.64,12732,12861,17662.67,17662,17799,22135,9422.43,9422,9516,12929.45,12929,13029,15248,2404.10,2404,2423,3074.17,3074,3101,4973,27168.39,27167,27454,35092.29,35091,35364,40942,6861.29,6861,6924,8320.61,8320,8414,13174,1501.04,1501,1507,2327.08,2327,2344,2945,2942.12,2942,2976,4417.15,4417,4454,5371,2020.09,2020,2044,2645.06,2645,2661,2881,1797.08,1797,1811,2286.10,2286,2307,2432,741.08,741,753,881.03,881,886,1088,250.02,250,253,259.02,259,262,372,171.00,171,172,114.01,114,115,159,592.02,592,594,858.01,858,859,1496,551.01,551,555,722.04,722,728,1109,488.03,488,493,541.03,541,549,960,419.03,419,423,568.07,568,576,791,211.01,211,213,250.02,250,252,408,80.00,80,82,99.00,99,99,135,63.00,63,63,36.01,36,38,74
"G0100030","2010","Alabama","01","Baldwin County","003",50933.00,50933,50933,74285.00,74285,74285,104061,29025.00,29025,29025,44016.00,44016,44016,53071,8019.00,8019,8019,11320.00,11320,11320,20109,77010.00,77010,77010,112195.00,112195,112195,131251,20134.00,20134,20134,25946.00,25946,25946,48707,5401.00,5401,5401,8767.00,8767,8767,11521,11122.00,11122,11122,17745.00,17745,17745,22163,5196.00,5196,5196,7484.00,7484,7484,8487,4446.00,4446,4446,6313.00,6313,6313,6727,1841.00,1841,1841,2590.00,2590,2590,2802,615.00,615,615,776.00,776,776,931,404.00,404,404,341.00,341,341,440,2522.00,2522,2522,4147.00,4147,4147,6851,2182.00,2182,2182,3210.00,3210,3210,5478,1381.00,1381,1381,1803.00,1803,1803,3303,1097.00,1097,1097,1303.00,1303,1303,2504,510.00,510,510,558.00,558,558,1247,209.00,209,209,195.00,195,195,494,118.00,118,118,104.00,104,104,232
"G0100050","2010","Alabama","01","Barbour County","005",10705.27,10705,10716,12461.42,12461,12475,11829,6490.19,6490,6497,7612.26,7612,7620,6556,2728.06,2728,2730,2797.06,2797,2799,3264,17817.45,17817,17835,19694.60,19694,19713,16020,7027.17,7027,7033,6626.25,6626,6635,8244,1396.03,1396,1397,1686.00,1686,1686,1633,2117.07,2117,2119,2697.17,2697,2702,2528,1108.06,1108,1111,1395.08,1395,1398,1084,1073.03,1073,1074,1132.00,1132,1132,796,476.00,476,476,476.00,476,476,339,164.00,164,164,139.00,139,139,123,156.00,156,156,87.00,87,87,53,944.03,944,945,1073.00,1073,1073,1164,632.00,632,632,684.03,684,685,761,464.00,464,464,453.00,453,453,536,346.00,346,346,323.00,323,323,393,186.03,186,187,146.00,146,146,243,65.00,65,65,67.00,67,67,98,91.00,91,91,51.03,51,52,69
"G0100070","2010","Alabama","01","Bibb County","007",6419.80,6370,6539,8345.17,8293,8491,8981,4521.86,4483,4626,5951.15,5941,6077,6011,1235.61,1228,1242,1470.01,1428,1482,1942,12986.89,12868,13276,16077.38,16063,16394,16003,3381.00,3359,3402,3510.03,3428,3538,4688,795.77,791,808,1124.02,1118,1142,1272,1416.30,1405,1457,2051.07,2047,2110,2130,879.11,872,901,1208.03,1208,1232,1047,844.23,832,863,977.02,977,995,913,358.45,356,367,371.01,371,376,402,131.00,131,133,145.00,145,147,150,97.00,96,97,75.00,75,75,97,369.00,367,369,514.01,500,521,679,294.45,293,297,409.00,389,409,504,210.00,209,212,234.00,229,236,333,177.00,175,178,174.00,172,175,244,106.00,105,106,92.00,91,93,119,44.00,44,44,31.00,31,32,35,35.16,35,36,16.00,16,16,28
"G0100090","2010","Alabama","01","Blount County","009",15792.18,15719,15908,21160.42,21034,21242,23887,11972.92,11913,12062,16077.29,15962,16147,17384,2673.15,2664,2689,3190.08,3184,3196,4194,32356.24,32199,32584,42549.29,42241,42717,46335,6694.42,6674,6738,7869.32,7854,7891,10498,1939.19,1934,1960,2923.94,2900,2940,3340,4278.38,4248,4308,5999.92,5958,6026,6475,2587.20,2576,2604,3151.28,3131,3168,3165,2115.11,2105,2131,2565.09,2546,2570,2566,785.01,784,787,1017.07,1012,1023,1162,191.04,189,195,273.00,271,273,437,77.00,77,77,147.00,144,147,239,850.02,847,851,1081.00,1079,1081,1440,684.03,681,689,818.03,817,821,1019,476.06,475,483,540.00,539,540,687,405.04,403,408,436.02,434,437,569,167.00,167,167,190.00,190,190,310,61.00,61,61,78.03,78,80,97,30.00,30,30,47.00,47,47,72
"G0100110","2010","Alabama","01","Bullock County","011",4430.71,4421,4456,4684.60,4668,4704,4493,2710.98,2703,2730,2938.45,2925,2950,2576,1052.35,1051,1056,1012.46,1010,1016,1169,7366.61,7347,7419,7504.94,7479,7527,6122,2937.72,2934,2948,2609.89,2604,2617,3102,680.24,678,687,788.92,784,796,818,837.72,834,844,962.15,957,964,845,459.64,459,461,498.94,496,499,414,362.51,362,364,365.32,365,367,281,190.32,190,191,191.12,191,192,129,89.00,89,89,89.00,89,89,53,91.54,91,94,43.00,43,43,36,331.51,331,333,352.10,351,353,412,208.00,208,208,233.25,233,235,238,184.32,184,185,161.12,161,162,194,162.32,162,163,142.98,142,143,173,80.19,80,81,66.00,66,66,78,47.00,47,47,29.00,29,29,35,39.00,39,39,28.00,28,28,39
"G0100130","2010","Alabama","01","Butler County","013",8744.83,8701,8780,9956.94,9941,9993,9964,5787.86,5752,5811,6402.96,6391,6422,5967,2146.98,2143,2151,1995.00,1994,1999,2524,15745.64,15653,15808,16437.93,16406,16487,14641,5940.97,5933,5957,4696.00,4692,4706,5973,1290.97,1284,1294,1521.99,1520,1528,1564,1900.95,1889,1910,2200.98,2196,2203,2099,1013.97,1005,1021,1172.00,1169,1177,1105,853.98,849,854,913.00,913,919,718,413.99,411,418,377.00,376,377,314,180.00,180,180,136.00,135,136,108,134.00,134,134,82.00,82,82,59,695.99,694,696,784.00,784,785,962,483.00,482,483,459.00,459,461,606,337.00,337,339,327.00,327,327,415,280.99,280,281,239.00,238,239,323,181.00,181,183,115.00,115,116,128,73.00,73,73,39.00,39,39,53,96.00,96,96,32.00,32,32,37
"G0100150","2010","Alabama","01","Calhoun County","015",46753.51,46733,46823,51322.13,51268,51347,53289,30222.43,30203,30280,32856.07,32810,32875,32552,12761.06,12760,12768,12451.04,12446,12455,14779,79277.89,79215,79409,81389.13,81264,81435,80747,31850.16,31846,31867,28432.07,28413,28442,34906,5931.13,5928,5946,7498.00,7489,7500,7717,10674.16,10668,10696,12342.07,12328,12352,12430,6114.09,6112,6126,6161.00,6150,6165,5632,5036.05,5034,5044,4593.01,4586,4596,4109,1702.00,1699,1703,1591.99,1588,1592,1745,501.99,499,502,444.00,444,444,591,263.00,263,263,226.00,225,226,328,4034.02,4034,4037,4687.01,4686,4688,5412,3250.01,3250,3251,3292.01,3291,3293,3863,2418.02,2418,2420,2103.00,2102,2104,2499,1880.00,1879,1880,1461.01,1461,1462,1707,781.00,781,781,604.00,604,604,802,255.01,255,256,211.00,210,211,317,143.00,143,143,93.00,92,93,179
"G0100170","2010","Alabama","01","Chambers County","017",14911.73,14901,14940,16257.59,16246,16283,17004,10473.37,10469,10494,10995.16,10986,11013,9843,3313.99,3310,3314,3528.01,3527,3529,4090,27756.11,27746,27805,27625.13,27608,27659,23979,8748.98,8737,8749,8442.01,8438,8443,9778,2239.13,2238,2241,2652.33,2651,2657,2589,3651.94,3651,3665,3916.74,3909,3928,3625,1950.15,1948,1953,2002.01,2002,2003,1677,1569.08,1569,1571,1500.07,1500,1501,1151,630.07,630,631,620.00,620,620,496,240.00,240,240,185.00,185,185,178,193.00,193,193,119.00,119,119,127,1050.00,1048,1050,1275.01,1275,1276,1464,780.00,779,780,850.00,850,850,1049,576.00,576,576,642.00,642,642,698,497.00,497,497,459.00,458,459,487,209.00,209,209,183.00,183,183,247,112.00,112,112,75.00,75,75,102,90.00,89,90,44.00,44,44,43
"G0100190","2010","Alabama","01","Cherokee County","019",9378.93,9329,9505,14024.91,13963,14177,16267,5958.95,5919,6057,7943.92,7907,8052,8345,1506.99,1501,1525,1774.99,1759,1799,2281,15528.86,15436,15776,19354.84,19262,19636,20341,3936.98,3920,3985,4272.97,4220,4339,5358,1103.99,1093,1127,1702.97,1692,1726,1917,2234.97,2220,2268,3259.98,3249,3297,3412,1188.01,1184,1207,1429.98,1424,1451,1412,969.97,960,987,1094.99,1090,1115,1005,323.00,323,326,333.01,331,337,385,97.00,97,100,85.99,84,88,134,42.00,42,42,37.00,37,38,80,419.00,417,425,616.00,615,625,847,408.00,407,411,447.00,441,449,589,299.00,299,302,297.00,295,301,370,214.00,212,218,263.00,260,269,282,97.00,96,98,114.00,111,116,107,50.00,50,51,24.00,24,24,51,20.00,20,20,14.00,13,15,35
