GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020,AR5AA1970,AR5AA1980,AR5AA1990,AR5AA2000,AR5AA2010
"G0100010","Alabama","01","010","Autauga County","001","0010",24460,32259,34222,43671,54571,58805,6796,10197,11826,16003,20221
"G0100030","Alabama","01","010","Baldwin County","003","0030",59382,78556,98280,140415,182265,231767,17721,26775,37044,55336,73180
"G0100050","Alabama","01","010","Barbour County","005","0050",22543,24756,25417,29038,27457,25223,6814,8375,9218,10409,9820
"G0100070","Alabama","01","010","Bibb County","007","0070",13812,15723,16576,20826,22915,22293,4020,5167,5745,7421,7953
"G0100090","Alabama","01","010","Blount County","009","0090",26853,36459,39248,51024,57322,59134,8442,12682,14644,19265,21578
"G0100110","Alabama","01","010","Bullock County","011","0110",11824,10596,11042,11714,10914,10357,3336,3455,3787,3986,3745
"G0100130","Alabama","01","010","Butler County","013","0130",22007,21680,21892,21399,20947,19051,6669,7471,7935,8398,8491
"G0100150","Alabama","01","010","Calhoun County","015","0150",103092,119761,116034,112249,118572,116441,30657,39651,42983,45307,47331
"G0100170","Alabama","01","010","Chambers County","017","0170",36356,39191,36876,36583,34215,34772,11208,13520,13786,14522,13933
"G0100190","Alabama","01","010","Cherokee County","019","0190",15606,18760,19543,23988,25989,24971,4879,6505,7466,9719,10626
"G0100210","Alabama","01","010","Chilton County","021","0210",25180,30612,32458,39593,43643,45014,8019,10742,12114,15287,16558
"G0100230","Alabama","01","010","Choctaw County","023","0230",16589,16839,16018,15922,13859,12665,4674,5405,5747,6363,5866
"G0100250","Alabama","01","010","Clarke County","025","0250",26724,27702,27240,27867,25833,23087,7608,8916,9506,10578,10337
"G0100270","Alabama","01","010","Clay County","027","0270",12636,13703,13252,14254,13932,14236,3948,4767,5003,5765,5670
"G0100290","Alabama","01","010","Cleburne County","029","0290",10996,12595,12730,14123,14972,15056,3366,4373,4776,5590,5891
"G0100310","Alabama","01","010","Coffee County","031","0310",34872,38533,40240,43615,49948,53465,10667,13430,15260,17421,19849
"G0100330","Alabama","01","010","Colbert County","033","0330",49632,54519,51666,54984,54428,57227,15049,19181,20096,22461,22773
"G0100350","Alabama","01","010","Conecuh County","035","0350",15645,15884,14054,14089,13228,11597,4665,5456,5259,5792,5625
"G0100370","Alabama","01","010","Coosa County","037","0370",10662,11377,11063,12202,11539,10387,3144,3899,4017,4682,4794
"G0100390","Alabama","01","010","Covington County","039","0390",34079,36850,36478,37631,37765,37570,11208,13747,14444,15640,15531
"G0100410","Alabama","01","010","Crenshaw County","041","0410",13188,14110,13635,13665,13906,13194,4226,5024,5262,5577,5652
"G0100430","Alabama","01","010","Cullman County","043","0430",52445,61642,67613,77483,80406,87866,16220,21758,25605,30706,31864
"G0100450","Alabama","01","010","Dale County","045","0450",52938,47821,49633,49129,50251,49326,13909,15168,17574,18878,20065
"G0100470","Alabama","01","010","Dallas County","047","0470",55296,53981,48130,46365,43820,38462,15611,17590,17033,17841,17064
"G0100490","Alabama","01","010","DeKalb County","049","0490",41981,53658,54651,64452,71109,71608,13501,19247,20968,25113,26842
"G0100510","Alabama","01","010","Elmore County","051","0510",33535,43390,49210,65874,79303,87977,9643,14024,16532,22737,28301
"G0100530","Alabama","01","010","Escambia County","053","0530",34906,38440,35518,38440,38319,36757,9963,12653,12899,14297,14157
"G0100550","Alabama","01","010","Etowah County","055","0550",94144,103057,99840,103459,104430,103436,30241,36864,38675,41615,42036
"G0100570","Alabama","01","010","Fayette County","057","0570",16252,18809,17962,18495,17241,16321,5223,6710,6859,7493,7100
"G0100590","Alabama","01","010","Franklin County","059","0590",23933,28350,27814,31223,31704,32113,7698,10209,10850,12259,12286
"G0100610","Alabama","01","010","Geneva County","061","0610",21924,24253,23647,25764,26790,26659,7059,8572,9231,10477,10920
"G0100630","Alabama","01","010","Greene County","063","0630",10650,11021,10153,9974,9045,7730,2947,3452,3512,3931,3764
"G0100650","Alabama","01","010","Hale County","065","0650",15888,15604,15498,17185,15760,14785,4277,4850,5397,6415,6273
