GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,A41AA1970,A41AA1980,B37AA1970,B37AA1980,B37AB1970,B37AB1980,B36AA1970,B36AA1980,B36AB1970,B36AB1980,B68AA1970,B68AA1980,B68AB1970,B68AB1980,B68AC1970,B68AC1980,B68AD1970,B68AD1980,B68AE1970,B68AE1980,B68AF1970,B68AF1980,B68AG1970,B68AG1980,B68AH1970,B68AH1980,B68AI1970,B68AI1980,B68AJ1970,B68AJ1980,B68AK1970,B68AK1980,B68AL1970,B68AL1980
"G0100010","Alabama","01","010","Autauga County","001","0010",7396,10963,4867,8136,1929,2061,16944,25711,7401,6395,476,1065,1272,2296,923,1620,969,1714,626,840,601,601,302,470,415,473,294,363,303,338,234,205,381,212
"G0100030","Alabama","01","010","Baldwin County","003","0030",21803,33277,13793,21285,3928,5490,45591,62823,13181,14984,1831,3322,4244,7184,2356,3846,2194,3569,1450,1946,1718,1418,746,1532,954,1500,692,922,558,739,371,389,607,408
"G0100050","Alabama","01","010","Barbour County","005","0050",7393,9325,4305,6049,2509,2326,13524,17678,8911,6843,626,1169,1451,1878,786,1094,626,953,360,509,456,446,501,658,609,556,344,359,345,295,218,205,492,253
"G0100070","Alabama","01","010","Bibb County","007","0070",4476,5759,2751,3934,1269,1233,8812,11700,4915,3881,357,705,887,1194,527,719,422,663,250,357,308,296,205,298,269,288,219,193,187,183,134,113,255,158
"G0100090","Alabama","01","010","Blount County","009","0090",9212,13846,6230,10308,2212,2374,19474,29986,7289,6304,639,1424,2111,3389,1276,2160,1119,2043,590,843,495,449,360,648,596,665,430,427,321,336,202,162,303,136
"G0100110","Alabama","01","010","Bullock County","011","0110",3712,3895,1889,2507,1447,948,6077,7720,5702,2876,359,501,581,734,281,410,221,385,185,202,262,275,287,303,320,210,191,130,180,93,105,75,364,137
"G0100130","Alabama","01","010","Butler County","013","0130",7134,8117,4185,5315,2484,2156,12792,15056,9119,6456,688,1050,1376,1778,757,942,599,804,394,387,371,354,442,616,620,486,362,335,305,295,229,166,526,258
"G0100150","Alabama","01","010","Calhoun County","015","0150",32563,42582,20564,27522,10093,12129,66154,79462,31569,32240,2285,4276,6316,8845,4219,5809,3784,5071,2025,2214,1935,1307,1893,3520,2776,3231,1904,2114,1495,1716,878,850,1147,698
"G0100170","Alabama","01","010","Chambers County","017","0170",11974,14428,7750,10102,3458,3418,23455,28916,12597,10013,1084,1827,2766,3486,1470,1848,1135,1499,645,751,650,691,622,1002,790,779,600,538,423,445,326,268,697,386
"G0100190","Alabama","01","010","Cherokee County","019","0190",5452,8197,3348,5065,1531,1440,10359,14482,5160,4206,367,762,1132,1706,695,1061,572,906,316,409,266,221,220,304,427,406,286,283,240,212,158,121,200,114
