GISJOIN,GEOID,STATE,COUNTY,Persons_1970,Persons_1980,Persons_1990,Persons_2000,Persons_2010,Persons_2020,Households_1970,Households_1980,Households_1990,Households_2000,Households_2010,Households_2020
G0100010,US01001,Alabama,Autauga County,24460,32259,34222,43671,54571,58805,6796,10197,11826,16003,20221,22412
G0100030,US01003,Alabama,Baldwin County,59382,78556,98280,140415,182265,231767,17721,26775,37044,55336,73180,93116
G0100050,US01005,Alabama,Barbour County,22543,24756,25417,29038,27457,25223,6814,8375,9218,10409,9820,9677
G0100070,US01007,Alabama,Bibb County,13812,15723,16576,20826,22915,22293,4020,5167,5745,7421,7953,7927
G0100090,US01009,Alabama,Blount County,26853,36459,39248,51024,57322,59134,8442,12682,14644,19265,21578,22367
G0100110,US01011,Alabama,Bullock County,11824,10596,11042,11714,10914,10357,3336,3455,3787,3986,3745,3928
G0100130,US01013,Alabama,Butler County,22007,21680,21892,21399,20947,19051,6669,7471,7935,8398,8491,8170
G0100150,US01015,Alabama,Calhoun County,103092,119761,116034,112249,118572,116441,30657,39651,42983,45307,47331,46437
G0100170,US01017,Alabama,Chambers County,36356,39191,36876,36583,34215,34772,11208,13520,13786,14522,13933,14238
G0100190,US01019,Alabama,Cherokee County,15606,18760,19543,23988,25989,24971,4879,6505,7466,9719,10626,10411
G0100210,US01021,Alabama,Chilton County,25180,30612,32458,39593,43643,45014,8019,10742,12114,15287,16558,17302
G0100230,US01023,Alabama,Choctaw County,16589,16839,16018,15922,13859,12665,4674,5405,5747,6363,5866,5675
G0100250,US01025,Alabama,Clarke County,26724,27702,27240,27867,25833,23087,7608,8916,9506,10578,10337,9662
G0100270,US01027,Alabama,Clay County,12636,13703,13252,14254,13932,14236,3948,4767,5003,5765,5670,5926
G0100290,US01029,Alabama,Cleburne County,10996,12595,12730,14123,14972,15056,3366,4373,4776,5590,5891,6054
G0100310,US01031,Alabama,Coffee County,34872,38533,40240,43615,49948,53465,10667,13430,15260,17421,19849,21263
G0100330,US01033,Alabama,Colbert County,49632,54519,51666,54984,54428,57227,15049,19181,20096,22461,22773,24425
G0100350,US01035,Alabama,Conecuh County,15645,15884,14054,14089,13228,11597,4665,5456,5259,5792,5625,5066
G0100370,US01037,Alabama,Coosa County,10662,11377,11063,12202,11539,10387,3144,3899,4017,4682,4794,4451
G0100390,US01039,Alabama,Covington County,34079,36850,36478,37631,37765,37570,11208,13747,14444,15640,15531,15515
G0100410,US01041,Alabama,Crenshaw County,13188,14110,13635,13665,13906,13194,4226,5024,5262,5577,5652,5680
G0100430,US01043,Alabama,Cullman County,52445,61642,67613,77483,80406,87866,16220,21758,25605,30706,31864,34723
G0100450,US01045,Alabama,Dale County,52938,47821,49633,49129,50251,49326,13909,15168,17574,18878,20065,20159
G0100470,US01047,Alabama,Dallas County,55296,53981,48130,46365,43820,38462,15611,17590,17033,17841,17064,16037
G0100490,US01049,Alabama,DeKalb County,41981,53658,54651,64452,71109,71608,13501,19247,20968,25113,26842,27145
G0100510,US01051,Alabama,Elmore County,33535,43390,49210,65874,79303,87977,9643,14024,16532,22737,28301,32567
G0100530,US01053,Alabama,Escambia County,34906,38440,35518,38440,38319,36757,9963,12653,12899,14297,14157,14499
G0100550,US01055,Alabama,Etowah County,94144,103057,99840,103459,104430,103436,30241,36864,38675,41615,42036,41974
G0100570,US01057,Alabama,Fayette County,16252,18809,17962,18495,17241,16321,5223,6710,6859,7493,7100,6653
G0100590,US01059,Alabama,Franklin County,23933,28350,27814,31223,31704,32113,7698,10209,10850,12259,12286,12142
G0100610,US01061,Alabama,Geneva County,21924,24253,23647,25764,26790,26659,7059,8572,9231,10477,10920,10874
G0100630,US01063,Alabama,Greene County,10650,11021,10153,9974,9045,7730,2947,3452,3512,3931,3764,3388
G0100650,US01065,Alabama,Hale County,15888,15604,15498,17185,15760,14785,4277,4850,5397,6415,6273,6138
G0100670,US01067,Alabama,Henry County,13254,15302,15374,16310,17302,17146,4103,5258,5769,6525,6994,7169
G0100690,US01069,Alabama,Houston County,56574,74632,81331,88787,101547,107202,17600,26183,30844,35834,40969,44368
G0100710,US01071,Alabama,Jackson County,39202,51407,47796,53926,53227,52579,12014,17689,18020,21615,21513,21733
G0100730,US01073,Alabama,Jefferson County,644991,671324,651525,662047,658466,674721,203629,244215,251479,263265,263568,274699
G0100750,US01075,Alabama,Lamar County,14335,16453,15715,15904,14564,13972,4672,5787,6005,6468,6103,5958
G0100770,US01077,Alabama,Lauderdale County,68111,80546,79661,87966,92709,93564,20779,28220,30905,36088,38680,39544
G0100790,US01079,Alabama,Lawrence County,27281,30170,31513,34803,34339,33073,7808,9814,11410,13538,13654,13517
G0100810,US01081,Alabama,Lee County,61268,76283,87146,115092,140247,174241,17391,26973,33097,45702,55682,68728
G0100830,US01083,Alabama,Limestone County,41699,46005,54135,65676,82782,103570,12040,15358,19685,24688,31446,39365
G0100850,US01085,Alabama,Lowndes County,12897,13253,12658,13473,11299,10311,3100,3732,4056,4909,4352,4272
G0100870,US01087,Alabama,Macon County,24841,26829,24928,24105,21452,19532,6457,8273,8483,8950,8499,7965
G0100890,US01089,Alabama,Madison County,186540,196966,238912,276700,334811,388153,53150,67082,91208,109955,134700,157770
G0100910,US01091,Alabama,Marengo County,23819,25047,23084,22539,21027,19323,6741,8117,8156,8767,8535,8226
G0100930,US01093,Alabama,Marion County,23788,30041,29830,31214,30776,29341,7708,10792,11521,12697,12651,12228
G0100950,US01095,Alabama,Marshall County,54211,65622,70832,82231,93019,97612,17111,23489,27761,32547,35810,37257
G0100970,US01097,Alabama,Mobile County,317308,364980,378643,399843,412992,414809,91769,123298,136899,150179,158435,163750
G0100990,US01099,Alabama,Monroe County,20883,22651,23968,24324,23068,19772,5932,7242,8412,9383,9214,8337
G0101010,US01101,Alabama,Montgomery County,167790,197038,209085,223510,229363,228954,50689,68471,77173,86068,89981,93223
G0101030,US01103,Alabama,Morgan County,77306,90231,100043,111064,119490,123421,23520,31369,37799,43602,47030,49241
G0101050,US01105,Alabama,Perry County,15388,15012,12759,11861,10591,8511,4192,4595,4201,4333,3947,3360
G0101070,US01107,Alabama,Pickens County,20326,21481,20699,20949,19746,19123,5946,6997,7568,8086,8012,7437
G0101090,US01109,Alabama,Pike County,25038,28050,27595,29605,32899,33009,7445,9525,10314,11933,13210,13901
G0101110,US01111,Alabama,Randolph County,18331,20075,19881,22380,22913,21967,5887,7045,7553,8642,9164,8931
